DataSet;Project;Package;Class;Method;Smell;Multiclass;Severity;ATFD_method;FDP_method;MAXNESTING_method;LOC_method;CYCLO_method;NOLV_method;NOAV_method;FANOUT_method;CFNAMM_method;ATLD_method;CINT_method;CDISP_method;AMW_type;ATFD_type;CFNAMM_type;DIT_type;FANOUT_type;LCOM5_type;LOCNAMM_type;LOC_package;LOC_type;NIM_type;NOA_type;NOCS_package;NOCS_project;NOMNAMM_project;NOMNAMM_type;NOM_project;RFC_type;TCC_type;WMCNAMM_type;WMC_type;WOC_type;NOM_type;AMWNAMM_type;NOCS_type;NOM_package;NOMNAMM_package;LOCNAMM_package;LOC_project;LOCNAMM_project;NOAM_type;NOP_method;MaMCL_method;MeMCL_method;CLNAMM_method;num_not_final_not_static_attributes;number_private_visibility_attributes
long_method;Aseprite;Aseprite;AudioProcessor;Process(AudioFile input, ContentProcessorContext context);0;0;0;0;0;0;3;1;2;2;0;0;1;0;0;1;0;0;1;0;0;3;784;6;1;0;17;17;13;1;15;1;0;1;1;1;1;1;0;15;13;495;784;495;0;2;0;0;0;0;0
large_class;Aseprite;Aseprite;AudioProcessor;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;0;0;1;0;0;3;784;6;1;0;17;17;13;1;15;1;0;1;1;1;1;1;0;15;13;495;784;495;0;1;0;0;0;0;0
long_method;Aseprite;Aseprite;AudioReader;Read(ContentReader input, AudioFile existingInstance);0;0;0;0;2;1;20;3;7;7;1;3;11;4;0.25;3;0;3;1;1;0;2;784;22;1;0;17;17;13;1;15;14;0;3;3;0;1;3;0;15;13;495;784;495;0;2;2;2;0;0;0
large_class;Aseprite;Aseprite;AudioReader;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;3;0;3;1;1;0;2;784;22;1;0;17;17;13;1;15;14;0;3;3;0;1;3;0;15;13;495;784;495;0;1;0;0;0;0;0
long_method;Aseprite;Aseprite;AudioWriter;GetRuntimeReader(TargetPlatform targetPlatform);0;0;0;0;2;0;4;1;2;2;0;0;2;0;0;1.3333333333333333;0;0;1;0;0;5;784;22;3;0;17;17;13;3;15;3;0;4;4;0.6666666666666666;3;1.3333333333333333;0;15;13;495;784;495;0;1;0;0;0;0;0
long_method;Aseprite;Aseprite;AudioWriter;GetRuntimeType(TargetPlatform targetPlatform);0;0;0;0;1;0;4;1;2;2;0;0;2;0;0;1.3333333333333333;0;0;1;0;0;5;784;22;3;0;17;17;13;3;15;3;0;4;4;0.6666666666666666;3;1.3333333333333333;0;15;13;495;784;495;0;1;0;0;0;0;0
long_method;Aseprite;Aseprite;AudioWriter;Write(ContentWriter output, AudioFile value);0;0;0;0;2;1;9;2;3;3;0;0;6;0;0;1.3333333333333333;0;0;1;0;0;5;784;22;3;0;17;17;13;3;15;3;0;4;4;0.6666666666666666;3;1.3333333333333333;0;15;13;495;784;495;0;2;2;2;0;0;0
large_class;Aseprite;Aseprite;AudioWriter;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1.3333333333333333;0;0;1;0;0;5;784;22;3;0;17;17;13;3;15;3;0;4;4;0.6666666666666666;3;1.3333333333333333;0;15;13;495;784;495;0;1;0;0;0;0;0
long_method;Aseprite;Aseprite;Calc;IsBitSet(uint b, int pos);0;0;0;0;0;0;3;1;2;2;0;0;2;0;0;1;0;0;1;0;0;2;784;5;0;0;17;17;13;1;15;1;0;1;1;1;1;1;0;15;13;495;784;495;0;2;0;0;0;0;0
large_class;Aseprite;Aseprite;Calc;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;0;0;1;0;0;2;784;5;0;0;17;17;13;1;15;1;0;1;1;1;1;1;0;15;13;495;784;495;0;1;0;0;0;0;0
large_class;Aseprite;Aseprite;ProcessedAseprite;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;0;2;0;1;0;0;4;784;4;0;2;17;17;13;0;15;0;0;0;0;0;0;0;0;15;13;495;784;495;0;1;0;0;0;2;0
long_method;BurningKnight;BurningKnight;BK;Initialize();0;0;0;0;0;1;41;2;1;1;7;7;11;7;1;1.2;3;20;1;19;1;21;359;95;4;3;4;1577;2771;5;5064;92;0;6;6;0.2;5;1.2;0;9;6;153;90892;17991;0;0;2;2;0;0;0
long_method;BurningKnight;BurningKnight;BK;RenderUi();0;0;0;0;0;0;4;1;0;0;2;2;2;2;1;1.2;3;20;1;19;1;21;359;95;4;3;4;1577;2771;5;5064;92;0;6;6;0.2;5;1.2;0;9;6;153;90892;17991;0;0;2;2;0;0;0
long_method;BurningKnight;BurningKnight;BK;RunBash(string args);0;0;0;0;2;0;17;1;3;3;3;4;3;4;0.75;1.2;3;20;1;19;1;21;359;95;4;3;4;1577;2771;5;5064;92;0;6;6;0.2;5;1.2;0;9;6;153;90892;17991;0;1;3;2.25;0;0;0
long_method;BurningKnight;BurningKnight;BK;UnloadContent();0;0;0;0;0;0;8;1;0;0;5;5;8;5;1;1.2;3;20;1;19;1;21;359;95;4;3;4;1577;2771;5;5064;92;0;6;6;0.2;5;1.2;0;9;6;153;90892;17991;0;0;2;2;0;0;0
long_method;BurningKnight;BurningKnight;BK;Update(GameTime gameTime);0;0;0;0;2;0;4;1;1;1;2;2;3;2;1;1.2;3;20;1;19;1;21;359;95;4;3;4;1577;2771;5;5064;92;0;6;6;0.2;5;1.2;0;9;6;153;90892;17991;0;1;2;2;0;0;0
large_class;BurningKnight;BurningKnight;BK;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1.2;3;20;1;19;1;21;359;95;4;3;4;1577;2771;5;5064;92;0;6;6;0.2;5;1.2;0;9;6;153;90892;17991;0;1;0;0;0;0;0
large_class;BurningKnight;BurningKnight;Events;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;0;2;0;1;0;0;11;359;11;0;2;4;1577;2771;0;5064;0;0;0;0;0;0;0;0;9;6;153;90892;17991;0;1;0;0;0;0;0
long_method;BurningKnight;BurningKnight;Settings;Generate();0;0;0;0;0;0;4;1;0;0;0;2;37;0;0;1;39;12;1;3;0.1428571428571429;66;359;198;0;28;4;1577;2771;1;5064;14;0.5;4;4;1;4;4;0;9;6;153;90892;17991;0;0;0;0;2;0;2
long_method;BurningKnight;BurningKnight;Settings;Load();0;0;0;5;3;0;38;1;0;0;2;6;36;31;0.06451612903225806;1;39;12;1;3;0.1428571428571429;66;359;198;0;28;4;1577;2771;1;5064;14;0.5;4;4;1;4;4;0;9;6;153;90892;17991;0;0;2;2;0;0;2
long_method;BurningKnight;BurningKnight;Settings;Save();0;0;0;0;0;0;32;1;0;0;1;4;35;30;0.03333333333333333;1;39;12;1;3;0.1428571428571429;66;359;198;0;28;4;1577;2771;1;5064;14;0.5;4;4;1;4;4;0;9;6;153;90892;17991;0;0;2;2;0;0;2
long_method;BurningKnight;BurningKnight;Settings;Setup();0;0;0;6;4;0;37;1;0;0;0;0;29;0;0;1;39;12;1;3;0.1428571428571429;66;359;198;0;28;4;1577;2771;1;5064;14;0.5;4;4;1;4;4;0;9;6;153;90892;17991;0;0;0;0;0;0;2
large_class;BurningKnight;BurningKnight;Settings;;1;1;10;0;0;1;3;1;1;1;0;0;0;0;0;1;39;12;1;3;0.1428571428571429;66;359;198;0;28;4;1577;2771;1;5064;14;0.5;4;4;1;4;4;0;9;6;153;90892;17991;0;1;0;0;0;0;2
large_class;BurningKnight;BurningKnight;Tags;;1;1;10;0;0;1;3;1;1;1;0;0;0;0;0;0;33;0;1;0;0;55;359;55;0;33;4;1577;2771;0;5064;0;0;0;0;0;0;0;0;9;6;153;90892;17991;0;1;0;0;0;0;0
long_method;BurningKnight;BurningKnight.assets;CommonAse;Load();0;0;0;2;2;0;11;1;0;0;2;2;8;7;0.2857142857142857;1;8;2;1;2;0;10;529;21;0;6;6;1577;2771;0;5064;3;0;1;1;1;1;0;0;26;10;161;90892;17991;0;0;2;2;0;0;0
large_class;BurningKnight;BurningKnight.assets;CommonAse;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;8;2;1;2;0;10;529;21;0;6;6;1577;2771;0;5064;3;0;1;1;1;1;0;0;26;10;161;90892;17991;0;1;0;0;0;0;0
long_method;BurningKnight;BurningKnight.assets;Dialogs;Add(Dialog dialog);0;0;0;1;1;0;3;1;1;1;0;0;3;0;0;3;6;15;1;8;0.5;8;529;68;0;1;6;1577;2771;3;5064;17;0.16666666666666666;15;15;0.8;5;5;0;26;10;161;90892;17991;0;1;0;0;0;0;1
long_method;BurningKnight;BurningKnight.assets;Dialogs;Get(string id);0;0;0;0;0;1;7;2;1;1;1;1;4;1;1;3;6;15;1;8;0.5;8;529;68;0;1;6;1577;2771;3;5064;17;0.16666666666666666;15;15;0.8;5;5;0;26;10;161;90892;17991;0;1;2;2;0;0;1
long_method;BurningKnight;BurningKnight.assets;Dialogs;Load();1;2;5;4;5;5;35;8;5;6;5;9;20;8;625;3;6;15;1;8;0.5;8;529;68;0;1;6;1577;2771;3;5064;17;0.16666666666666666;15;15;0.8;5;5;0;26;10;161;90892;17991;0;0;3;2.25;1;0;1
long_method;BurningKnight;BurningKnight.assets;Dialogs;ParseNode(ImNode node);0;0;0;0;0;1;5;2;1;2;1;2;8;1;1;3;6;15;1;8;0.5;8;529;68;0;1;6;1577;2771;3;5064;17;0.16666666666666666;15;15;0.8;5;5;0;26;10;161;90892;17991;0;1;2;2;1;0;1
long_method;BurningKnight;BurningKnight.assets;Dialogs;RegisterCallback(string id, Func<Dialog, DialogComponent, Dialog> callback);0;0;0;0;1;1;10;2;3;4;1;3;9;2;0.5;3;6;15;1;8;0.5;8;529;68;0;1;6;1577;2771;3;5064;17;0.16666666666666666;15;15;0.8;5;5;0;26;10;161;90892;17991;0;2;2;2;1;0;1
large_class;BurningKnight;BurningKnight.assets;Dialogs;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;3;6;15;1;8;0.5;8;529;68;0;1;6;1577;2771;3;5064;17;0.16666666666666666;15;15;0.8;5;5;0;26;10;161;90892;17991;0;1;0;0;0;0;1
long_method;BurningKnight;BurningKnight.assets;Font;Load();0;0;0;0;0;0;5;1;0;1;0;1;4;0;0;1;4;2;1;1;0.33333333333333337;7;529;15;0;3;6;1577;2771;1;5064;3;0;2;2;1;2;2;0;26;10;161;90892;17991;0;0;0;0;2;0;0
long_method;BurningKnight;BurningKnight.assets;Font;LoadFont(string name);0;0;0;1;1;0;3;1;1;1;1;1;1;1;1;1;4;2;1;1;0.33333333333333337;7;529;15;0;3;6;1577;2771;1;5064;3;0;2;2;1;2;2;0;26;10;161;90892;17991;0;1;3;3;0;0;0
large_class;BurningKnight;BurningKnight.assets;Font;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;4;2;1;1;0.33333333333333337;7;529;15;0;3;6;1577;2771;1;5064;3;0;2;2;1;2;2;0;26;10;161;90892;17991;0;1;0;0;0;0;0
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;BeforeRender();1;3;6;31;15;4;102;24;13;14;12;24;54;25;0.48;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;0;3;2.1666666666666665;2;0;12
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;Begin();0;0;0;1;1;1;8;2;0;0;1;2;4;2;0.5;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;0;2;2;0;0;12
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;BindTextures();0;0;0;5;3;1;9;2;1;1;1;1;7;2;0.5;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;0;2;2;0;0;12
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;ClearNodes();0;0;0;2;2;0;4;1;0;0;1;1;4;1;1;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;0;3;3;0;0;12
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;Copy(bool menu = true);0;0;0;0;1;2;11;4;2;2;2;2;6;3;0.6666666666666666;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;1;3;2.3333333333333335;0;0;12
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;End();0;0;0;0;0;0;3;1;0;0;1;1;2;1;1;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;0;2;2;0;0;12
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;Init();0;0;0;2;2;1;8;2;1;1;1;1;2;1;1;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;0;2;2;0;0;12
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;Node(ImNode node);0;0;0;2;2;0;3;1;1;1;0;0;4;0;0;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;1;0;0;0;0;12
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;Paste();0;0;0;0;0;1;8;2;2;2;2;2;3;2;1;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;0;2;2;0;0;12
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;RenderAddNew();0;0;0;0;2;2;9;3;0;0;1;2;4;2;0.5;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;0;2;2;0;0;12
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;RenderMenu(bool window = false);0;0;0;0;0;2;16;5;1;3;2;8;16;6;0.3333333333333333;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;1;2;2;3;0;12
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;RenderNodes();1;2;5;15;5;2;50;8;4;5;4;11;25;11;0.36363636363636365;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;0;3;2.1818181818181817;1;0;12
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;RenderPaste();0;0;0;0;0;1;5;2;0;2;1;2;4;1;1;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;0;2;2;1;0;12
long_method;BurningKnight;BurningKnight.assets;ImGuiHelper;RenderVoidMenu();0;0;0;12;3;2;20;8;0;4;3;8;18;7;0.42857142857142855;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;0;3;2.857142857142857;4;0;12
large_class;BurningKnight;BurningKnight.assets;ImGuiHelper;;1;2;11;0;0;1;3;1;1;1;0;0;0;0;0;4.642857142857143;88;65;1;32;0.8803418803418803;37;529;293;0;18;6;1577;2771;4;5064;57;0.14545454545454545;65;65;0.7857142857142857;14;16.25;0;26;10;161;90892;17991;0;1;0;0;0;0;12
long_method;BurningKnight;BurningKnight.assets;Palette;Define(string s, Color c);0;0;0;0;0;0;3;1;2;2;0;0;3;0;0;1;2;0;1;0;0;86;529;89;0;2;6;1577;2771;0;5064;1;0;1;1;1;1;0;0;26;10;161;90892;17991;0;2;0;0;0;0;0
large_class;BurningKnight;BurningKnight.assets;Palette;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;2;0;1;0;0;86;529;89;0;2;6;1577;2771;0;5064;1;0;1;1;1;1;0;0;26;10;161;90892;17991;0;1;0;0;0;0;0
long_method;BurningKnight;BurningKnight.assets;Shaders;Begin(Effect effect);0;0;0;5;5;0;9;1;2;2;2;3;2;3;0.6666666666666666;1;21;6;1;4;0.5;13;529;43;0;8;6;1577;2771;2;5064;7;0;3;3;1;3;1.5;0;26;10;161;90892;17991;0;1;2;2;0;0;0
long_method;BurningKnight;BurningKnight.assets;Shaders;End();0;0;0;5;2;0;8;1;1;1;1;2;1;2;0.5;1;21;6;1;4;0.5;13;529;43;0;8;6;1577;2771;2;5064;7;0;3;3;1;3;1.5;0;26;10;161;90892;17991;0;0;2;2;0;0;0
long_method;BurningKnight;BurningKnight.assets;Shaders;Load();0;0;0;3;2;0;13;1;0;0;1;1;8;8;125;1;21;6;1;4;0.5;13;529;43;0;8;6;1577;2771;2;5064;7;0;3;3;1;3;1.5;0;26;10;161;90892;17991;0;0;2;2;0;0;0
large_class;BurningKnight;BurningKnight.assets;Shaders;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;1;21;6;1;4;0.5;13;529;43;0;8;6;1577;2771;2;5064;7;0;3;3;1;3;1.5;0;26;10;161;90892;17991;0;1;0;0;0;0;0
data_class;BurningKnight;BurningKnight.assets.achievements;Achievement;;1;1;7;0;0;1;3;1;1;1;0;0;0;0;0;3;8;3;1;1;0;21;473;46;2;6;6;1577;2779;0;5064;5;1;6;6;1;2;0;2;16;3;61;90892;17991;0;1;0;0;0;5;0
data_class;BurningKnight;BurningKnight.assets.items;ItemData;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;0;18;0;1;0;0;24;601;24;0;18;2;1577;2779;0;5064;0;0;0;0;0;0;0;0;25;9;78;90892;17991;0;1;0;0;0;18;0
long_method;BurningKnight;BurningKnight.debug;BiomeCommand;Run(Console Console, string[] Args);0;0;0;1;2;1;7;2;2;2;3;3;9;3;1;2;1;3;1;3;0;7;906;14;1;0;23;1577;2771;1;5064;7;0;2;2;1;1;2;0;36;27;216;90892;17991;0;2;4;2.6666666666666665;0;0;0
large_class;BurningKnight;BurningKnight.debug;BiomeCommand;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;2;1;3;1;3;0;7;906;14;1;0;23;1577;2771;1;5064;7;0;2;2;1;1;2;0;36;27;216;90892;17991;0;1;0;0;0;0;0
long_method;BurningKnight;BurningKnight.debug;BuffCommand;Run(Console Console, string[] Args);0;0;0;3;4;2;12;4;4;4;4;4;12;4;1;4;3;4;1;4;0;7;906;19;1;0;23;1577;2771;1;5064;8;0;4;4;1;1;4;0;36;27;216;90892;17991;0;2;2;2;0;0;0
large_class;BurningKnight;BurningKnight.debug;BuffCommand;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;4;3;4;1;4;0;7;906;19;1;0;23;1577;2771;1;5064;8;0;4;4;1;1;4;0;36;27;216;90892;17991;0;1;0;0;0;0;0
long_method;BurningKnight;BurningKnight.debug;CheatWindow;Render();1;1;4;7;6;1;31;9;1;1;5;9;14;14;0.35714285714285715;9;10;9;1;5;0;6;906;37;0;3;23;1577;2771;0;5064;10;0;9;9;1;1;0;0;36;27;216;90892;17991;0;0;2;2;0;0;0
large_class;BurningKnight;BurningKnight.debug;CheatWindow;;0;0;0;0;0;1;3;1;1;1;0;0;0;0;0;9;10;9;1;5;0;6;906;37;0;3;23;1577;2771;0;5064;10;0;9;9;1;1;0;0;36;27;216;90892;17991;0;1;0;0;0;0;0
long_method;BurningKnight;BurningKnight.debug;Console;AddCommand(ConsoleCommand command);0;0;0;0;0;0;3;1;1;1;1;1;2;1;1;4;29;32;1;11;0.7;42;906;145;5;10;23;1577;2771;0;5064;34;0.4;20;20;1;5;0;0;36;27;216;90892;17991;0;1;2;2;0;6;7
long_method;BurningKnight;BurningKnight.debug;Console;Print(string str);0;0;0;0;0;0;4;1;1;1;2;2;2;2;1;4;29;32;1;11;0.7;42;906;145;5;10;23;1577;2771;0;5064;34;0.4;20;20;1;5;0;0;36;27;216;90892;17991;0;1;2;2;0;6;7
long_method;BurningKnight;BurningKnight.debug;Console;Render();1;2;5;11;9;3;61;9;2;8;3;21;26;20;0.15;4;29;32;1;11;0.7;42;906;145;5;10;23;1577;2771;0;5064;34;0.4;20;20;1;5;0;0;36;27;216;90892;17991;0;0;3;2.05;1;6;7
long_method;BurningKnight;BurningKnight.debug;Console;RunCommand(string input);1;1;4;2;2;3;28;6;6;7;4;7;15;7;0.5714285714285714;4;29;32;1;11;0.7;42;906;145;5;10;23;1577;2771;0;5064;34;0.4;20;20;1;5;0;0;36;27;216;90892;17991;0;1;3;2.2857142857142856;1;6;7
